smiles,pIC50,docking_score
CC(C)N1Cc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2S1(=O)=O,7.25964,-10.44344
CC(C)N1Cc2cc(N(C)C)c(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2S1(=O)=O,7.25964,-9.00146
CC(C)N1Cc2cc(OCC(F)(F)F)c(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2S1(=O)=O,6.25964,-10.59331
CC(C)N1Cc2ccc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1=O,6.25964,-9.66444
CC(C)N1Cc2cnc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1=O,7.25964,-9.31253
CC(C)N1Cc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1=O,7.25964,-9.63321
CC(C)NC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964,-10.56534
CC(C)NC(=O)c1ccc(N2CCN(c3cccc(-c4nncn4C(C)C)n3)C2=O)cn1,7.0,-8.91842
CC(C)NC1CN(c2ccc(N3CCN(c4cccc(-c5nncn5C(C)C)n4)C3=O)cc2)C1,7.0,-8.62105
CC(C)Nc1cc(C(F)(F)F)cc2nc(NC(=O)c3cccnc3)nn12,7.37675,-9.07931
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c(F)cc2nc1OC(C)C,7.25964,-9.55768
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)ccc2nc1OC(C)C,7.25964,-9.40314
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)c(F)cc2nc1OC(C)C,6.0,-9.73964
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nnnn4[C@@H](C)CO)n3)c(F)cc2nc1OC(C)C,6.0,-9.90181
CC(C)OC(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nncn4[C@H](C)CO)n3)cc2C1,8.90309,-10.34035
CC(C)OC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964,-9.8556
CC(C)OC(=O)Nc1cccc(-c2nncn2C(C)C)n1,7.827523525975717,-8.09648
CC(C)Oc1cc2c(cc1-c1cccnc1)C(=O)N(c1cccc(-c3nncn3C3CC3)n1)C2,6.69897,-9.68192
CC(C)Oc1cc2c(cc1C(=O)Nc1cccc(-c3nnnn3[C@H](C)CO)n1)S(=O)(=O)N(C(C)C)C2,7.25964,-10.5394
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3C(C)C)n1)C2,8.799990244482077,-9.51515
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3C(C)CO)n1)C2,11.299988937677888,-9.77147
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3[C@H](C)CO)n1)C2,8.300343333333334,-9.87399
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nnnn3[C@H](C)CO)n1)C2,8.25964,-10.19681
CC(C)Oc1cccc(-c2cnc(-c3cccc(-c4nncn4C(C)C)n3)o2)c1,7.30103,-8.96682
CC(C)Oc1cnc(C(=O)Nc2cccc3c2OCCn2cnnc2-3)cc1-n1cnc(C2CC2)c1,8.23657,-10.07417
CC(C)Oc1cnc(C(=O)Nc2cccc3c2OCCn2nnnc2-3)cc1-n1cnc(C2CC2)c1,8.74473,-10.14282
CC(C)Oc1cnc(C(=O)Nc2cccc3c2OC[C@@H](C)n2nnnc2-3)cc1-n1cnc(C2CC2)c1,8.38722,-9.96614
CC(C)Oc1cnc(C(=O)Nc2cccc3c2OC[C@H](C)n2nnnc2-3)cc1-n1cnc(C2CC2)c1,8.27572,-9.47471
CC(C)Oc1cncc(-n2cc(C(=O)Nc3cccc(-c4cncn4C(C)C)n3)c(C(F)F)n2)c1,7.0,-9.17673
CC(C)Oc1cncc(-n2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c(C(F)F)n2)c1,7.0,-9.37291
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1OC(C)C,6.25964,-9.49146
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2nc1N(C)C(C)C,6.0,-9.63351
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2nc1OC(C)C,6.0,-9.75332
CC(C)Oc1nc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1N1CCCCC1,6.0,-9.67845
CC(C)Oc1nc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1N1CCOCC1,6.25964,-10.03382
CC(C)S(=O)(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964,-10.05956
CC(C)[C@H](N)C(=O)OC[C@@H](C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C(=O)N3CCCCC3)ccn2)n1,7.30103,-9.69152
CC(C)[C@H](N)C(=O)OC[C@@H](C)n1cnnc1-c1cccc(NC(=O)Nc2cc3ccccc3cn2)n1,7.30103,-9.82936
CC(C)c1cc(N2CCN(c3cccc(-c4nncn4C(C)C)n3)C2=O)ccc1S(C)(=O)=O,6.0,-9.47575
CC(C)c1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]n1,6.41,-8.95903
CC(C)c1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)n[nH]1,9.405607449624574,-8.99784
