smiles,pIC50
CC(C)(O)c1ccc(C(=O)Nc2cc(-c3cccc(CO)c3)n3nccc3n2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2cc(-c3ccccc3)n3nccc3n2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC(CCO)CC3)n3nccc3n2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCCC3)n3nccc3n2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC[C@@H](C(N)=O)C3)n3nccc3n2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC[C@H](C(=O)O)C3)n3nccc3n2)cc1,6.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCC[C@H]3C(N)=O)n3nccc3n2)cc1,6.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCOCC3)n3nccc3n2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCc4[nH]cnc(=O)c4C3)n3nccc3n2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCc4ccccc4C3)n3nccc3n2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2cc(N3CCn4cnnc4C3)n3nccc3n2)cc1,6.0
CC(C)(O)c1ccc(C(=O)Nc2cc3c(ccn3CC3CC3)cn2)cc1,6.778416666666668
CC(C)(O)c1ccc(C(=O)Nc2cc3c(ccn3CS(C)(=O)=O)cn2)cc1,4.907484999999999
CC(C)(O)c1ccc(C(=O)Nc2cc3c(cn2)c(Br)cn3CC2CC2)cc1,7.6458699999999995
CC(C)(O)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,7.906175489996436
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(-c4ccc(=O)[nH]c4)nc3s2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(-c4ccncc4)nc3s2)cc1,6.50864
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(-c4cn[nH]c4)nc3s2)cc1,7.0
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(N4CCCC4)nc3s2)cc1,6.0
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(N4CCCCC4)nc3s2)cc1,6.0
CC(C)(O)c1ccc(C(=O)Nc2nc3ccc(N4CC[C@@H](O)C4)nc3s2)cc1,6.0
CC(C)(O)c1ccc2c(c1)C(=O)N=C1C=CC=C(N1)c1nncn1CCCCO2,7.0
CC(C)=Cc1cccc2nc(NC(=O)c3cccnc3)nn12.Cl,5.22915
